date,home,away,odds_w,odds_d,odds_l
100814,Aston Villa,West Ham,2,3.3,4
100814,Bolton,Fulham,2.2,3.3,3.4
100814,Chelsea,West Brom,1.17,7,17
100814,Sunderland,Birmingham,2.1,3.3,3.6
100814,Tottenham,Man City,2.4,3.3,3
100814,Wigan,Blackpool,1.83,3.5,4.5
100814,Wolves,Stoke,2.3,3.25,3.2
100814,Blackburn,Everton,2.88,3.25,2.5
100815,Liverpool,Arsenal,2.5,3.25,2.88
100816,Man United,Newcastle,1.25,5.5,15
100820,Bayern Munich,Wolfsburg,1.57,4,5.5
100821,Birmingham,Blackburn,2.2,3.25,3.4
100821,Stoke,Tottenham,3.4,3.3,2.2
100821,West Brom,Sunderland,2.5,3.25,2.88
100821,West Ham,Bolton,2.25,3.3,3.25
100821,Wigan,Chelsea,15,6,1.22
100821,FC Koln,Kaiserslautern,2.1,3.4,3.4
100821,Arsenal,Blackpool,1.17,7,19
100821,Everton,Wolves,1.5,4,7
100821,Hannover,Ein Frankfurt,2.6,3.25,2.7
100821,Hamburg,Schalke 04,2.38,3.4,2.88
100821,Freiburg,St Pauli,2.2,3.3,3.25
100821,Hoffenheim,Werder Bremen,2.88,3.4,2.38
100821,M'gladbach,Nurnberg,1.91,3.4,4
100822,Mainz,Stuttgart,3.1,3.4,2.25
100822,Newcastle,Aston Villa,3.2,3.25,2.3
100822,Fulham,Man United,6,4,1.57
100822,Dortmund,Leverkusen,2.38,3.4,2.88
100823,Man City,Liverpool,2.38,3.25,3.1
100827,Kaiserslautern,Bayern Munich,7,4.33,1.44
100828,Schalke 04,Hannover,1.33,4.75,10
100828,Nurnberg,Freiburg,1.91,3.4,4
100828,Ein Frankfurt,Hamburg,3.1,3.5,2.2
100828,Chelsea,Stoke,1.11,9,23
100828,Blackburn,Arsenal,6,4,1.57
100828,Blackpool,Fulham,3.2,3.25,2.3
100828,Man United,West Ham,1.14,8,19
100828,Tottenham,Wigan,1.25,5.75,13
100828,Wolves,Newcastle,2.4,3.2,3.1
100828,St Pauli,Hoffenheim,3.2,3.4,2.2
100828,Werder Bremen,FC Koln,1.4,4.75,7
100828,Wolfsburg,Mainz,1.57,4,5.5
100828,Malaga,Valencia,2.88,3.3,2.4
100828,Levante,Sevilla,3.6,3.5,2
100828,Hercules,Ath Bilbao,2.5,3.25,2.8
100828,Roma,Cesena,1.29,4.75,13
100828,Udinese,Genoa,2.4,3.1,3.1
100829,Sociedad,Villarreal,3,3.25,2.38
100829,Sunderland,Man City,4.5,3.5,1.83
100829,Liverpool,West Brom,1.22,6,15
100829,Bolton,Birmingham,2.1,3.3,3.6
100829,Aston Villa,Everton,2.5,3.25,2.88
100829,Sampdoria,Lazio,2.1,3.1,3.75
100829,Parma,Brescia,1.83,3.25,4.75
100829,Palermo,Cagliari,1.73,3.25,5.5
100829,Milan,Lecce,1.33,4.5,11
100829,Fiorentina,Napoli,2.3,3.1,3.3
100829,Bari,Juventus,4.33,3.25,1.91
100829,Chievo,Catania,2.2,3.1,3.5
100829,Espanol,Getafe,2.1,3.3,3.5
100829,La Coruna,Zaragoza,2.1,3.3,3.5
100829,Mallorca,Real Madrid,8,4.75,1.36
100829,Osasuna,Almeria,2,3.4,3.75
100829,Santander,Barcelona,15,6,1.2
100829,Stuttgart,Dortmund,2.2,3.3,3.25
100829,Leverkusen,M'gladbach,1.36,4.75,8
100830,Ath Madrid,Sp Gijon,1.53,4,6
100830,Bologna,Inter,6.25,3.5,1.62
100910,Hoffenheim,Schalke 04,2.4,3.3,2.88
100911,West Brom,Tottenham,3.75,3.25,2.1
100911,Cagliari,Roma,3.25,3.1,2.3
100911,Cesena,Milan,7,3.75,1.53
100911,Wigan,Sunderland,2.5,3.25,2.88
100911,West Ham,Chelsea,10,5,1.33
100911,Newcastle,Blackpool,1.57,4,6
100911,Inter,Udinese,1.4,4.33,8.5
100911,Man City,Blackburn,1.33,5,10
100911,Dortmund,Wolfsburg,2.1,3.5,3.25
100911,Everton,Man United,4.2,3.4,1.91
100911,M'gladbach,Ein Frankfurt,2.1,3.4,3.4
100911,Hannover,Leverkusen,3.75,3.4,2
100911,Hamburg,Nurnberg,1.36,4.75,8.5
100911,Freiburg,Stuttgart,3.4,3.4,2.1
100911,Fulham,Wolves,1.83,3.5,4.5
100911,Real Madrid,Osasuna,1.17,6.5,17
100911,Valencia,Santander,1.44,4.33,7
100911,Ath Bilbao,Ath Madrid,3,3.25,2.38
100911,Bayern Munich,Werder Bremen,1.57,4,5.5
100911,Arsenal,Bolton,1.25,5.5,13
100911,Barcelona,Hercules,1.06,11,34
100912,Genoa,Chievo,1.7,3.5,5.25
100912,Catania,Parma,2.25,3.1,3.4
100912,Brescia,Palermo,3.25,3.1,2.3
100912,Juventus,Sampdoria,1.8,3.5,4.5
100912,Lazio,Bologna,1.73,3.4,5.25
100912,FC Koln,St Pauli,2.2,3.25,3.25
100912,Mainz,Kaiserslautern,2.2,3.3,3.25
100912,Napoli,Bari,1.73,3.4,5.25
100912,Zaragoza,Malaga,1.91,3.4,4
100912,Villarreal,Espanol,1.8,3.5,4.5
100912,Sp Gijon,Mallorca,2.4,3.3,2.9
100912,Sevilla,La Coruna,1.5,4,7
100912,Getafe,Levante,1.57,3.8,6
100912,Birmingham,Liverpool,3.1,3.2,2.4
100912,Lecce,Fiorentina,3.5,3.1,2.2
100913,Stoke,Aston Villa,2.5,3.25,2.88
100913,Almeria,Sociedad,2.2,3.25,3.3
100917,Ein Frankfurt,Freiburg,1.8,3.5,4.5
100918,Sociedad,Real Madrid,8.5,4.6,1.36
100918,Sp Gijon,Ath Bilbao,2.4,3.25,2.9
100918,Espanol,Almeria,2,3.3,3.75
100918,Fiorentina,Lazio,2.05,3.25,3.75
100918,Milan,Catania,1.3,4.75,11
100918,Mallorca,Osasuna,1.91,3.4,4
100918,Aston Villa,Bolton,1.8,3.6,4.5
100918,Tottenham,Wolves,1.4,4.5,8.5
100918,Stuttgart,M'gladbach,1.8,3.5,4.5
100918,Kaiserslautern,Hoffenheim,2.8,3.4,2.4
100918,Bayern Munich,FC Koln,1.22,6,12
100918,Blackburn,Fulham,2,3.3,4
100918,Everton,Newcastle,1.62,3.75,6
100918,Stoke,West Ham,1.91,3.4,4.2
100918,Sunderland,Arsenal,5.5,3.7,1.67
100918,Wolfsburg,Hannover,1.53,4,6
100918,West Brom,Birmingham,2.25,3.3,3.25
100918,Werder Bremen,Mainz,1.44,4.33,7
100919,Levante,Villarreal,3.75,3.3,2
100919,Leverkusen,Nurnberg,1.44,4.33,7
100919,Schalke 04,Dortmund,2.25,3.3,3.2
100919,St Pauli,Hamburg,3.6,3.5,2
100919,Bari,Cagliari,1.95,3.3,4
100919,Cesena,Lecce,2,3.25,3.9
100919,Chievo,Brescia,1.91,3.3,4.2
100919,Wigan,Man City,5,3.6,1.73
100919,Ath Madrid,Barcelona,5,3.75,1.67
100919,Hercules,Valencia,3.5,3.2,2.15
100919,Palermo,Inter,3.3,3.25,2.2
100919,Man United,Liverpool,1.7,3.5,5.5
100919,Roma,Bologna,1.4,4.33,8
100919,Sampdoria,Napoli,2.25,3.2,3.25
100919,Udinese,Juventus,3,3.2,2.4
100919,Malaga,Sevilla,3.25,3.25,2.2
100919,Santander,Zaragoza,2.25,3.2,3.25
100919,Chelsea,Blackpool,1.1,9,26
100919,Parma,Genoa,2.35,3.2,3.1
100920,La Coruna,Getafe,2.25,3.2,3.25
100921,Mainz,FC Koln,1.91,3.4,4
100921,Hoffenheim,Bayern Munich,3.6,3.5,2
100921,Hannover,Werder Bremen,3.6,3.5,2
100921,Ath Bilbao,Mallorca,1.91,3.4,4
100921,Osasuna,Sociedad,2.1,3.25,3.6
100921,Real Madrid,Espanol,1.17,7,15
100922,Almeria,Levante,1.75,3.5,4.75
100922,Barcelona,Sp Gijon,1.14,7,21
100922,Leverkusen,Ein Frankfurt,1.67,3.6,5.25
100922,Freiburg,Schalke 04,3.1,3.3,2.25
100922,Hamburg,Wolfsburg,1.91,3.5,3.9
100922,M'gladbach,St Pauli,2,3.3,3.8
100922,Nurnberg,Stuttgart,3.1,3.3,2.3
100922,Valencia,Ath Madrid,2.1,3.25,3.5
100922,Napoli,Chievo,1.67,3.4,5.75
100922,Lecce,Parma,2.5,3,3
100922,Inter,Bari,1.4,4.5,7.5
100922,Genoa,Fiorentina,2.2,3.1,3.4
100922,Catania,Cesena,2.05,3.1,3.9
100922,Cagliari,Sampdoria,2.4,3.1,3.1
100922,Brescia,Roma,3.6,3.2,2.1
100922,Bologna,Udinese,2.5,3.1,2.9
100922,Dortmund,Kaiserslautern,1.5,4,7
100922,Zaragoza,Hercules,1.95,3.3,4
100922,Lazio,Milan,3.5,3.1,2.2
100923,Sevilla,Santander,1.5,4,7
100923,Getafe,Malaga,1.8,3.4,4.75
100923,Villarreal,La Coruna,1.67,3.75,5
100923,Juventus,Palermo,1.73,3.5,5
100924,FC Koln,Hoffenheim,3.25,3.3,2.2
100925,Ath Bilbao,Barcelona,6,3.8,1.57
100925,Sp Gijon,Valencia,3.25,3.3,2.2
100925,Arsenal,West Brom,1.22,6,15
100925,Birmingham,Wigan,1.83,3.5,4.5
100925,Blackpool,Blackburn,3.2,3.25,2.3
100925,Fulham,Everton,2.75,3.2,2.63
100925,West Ham,Tottenham,3.5,3.4,2.1
100925,Roma,Inter,3.4,3.2,2.2
100925,Levante,Real Madrid,12,5.5,1.25
100925,Man City,Chelsea,3.6,3.3,2.1
100925,Bayern Munich,Mainz,1.44,4.33,7
100925,Ein Frankfurt,Nurnberg,2,3.4,3.75
100925,Schalke 04,M'gladbach,1.53,3.8,6.5
100925,St Pauli,Dortmund,3.75,3.4,2
100925,Stuttgart,Leverkusen,2.4,3.3,2.9
100925,Werder Bremen,Hamburg,2.4,3.3,2.9
100925,Liverpool,Sunderland,1.44,4.33,7.5
100925,Milan,Genoa,1.67,3.5,5.5
100926,Bolton,Man United,7.5,4,1.5
100926,Newcastle,Stoke,1.91,3.4,4.2
100926,Kaiserslautern,Hannover,2.25,3.25,3.2
100926,Wolfsburg,Freiburg,1.44,4.33,7
100926,Sampdoria,Udinese,1.75,3.3,4.5
100926,Palermo,Lecce,1.53,3.5,6.5
100926,Santander,Getafe,2.4,3.3,2.9
100926,Mallorca,Sociedad,2.05,3.3,3.6
100926,La Coruna,Almeria,2.1,3.3,3.5
100926,Hercules,Sevilla,3.5,3.3,2.1
100926,Ath Madrid,Zaragoza,1.53,4,6
100926,Wolves,Aston Villa,2.88,3.25,2.5
100926,Espanol,Osasuna,2.2,3.3,3.25
100926,Catania,Bologna,1.91,3.25,4.33
100926,Cesena,Napoli,3,3,2.5
100926,Chievo,Lazio,2.5,3,3
100926,Fiorentina,Parma,1.95,3.2,4.2
100926,Juventus,Cagliari,1.6,3.6,6
100926,Bari,Brescia,1.91,3.2,4.33
100927,Malaga,Villarreal,3,3.25,2.38
101001,Hannover,St Pauli,2,3.4,3.6
101002,Sociedad,Espanol,2.2,3.25,3.25
101002,Valencia,Ath Bilbao,1.73,3.4,5.25
101002,Zaragoza,Sp Gijon,2.05,3.3,3.6
101002,Freiburg,FC Koln,2.25,3.3,3.2
101002,Hamburg,Kaiserslautern,1.5,4,6.75
101002,Mainz,Hoffenheim,2.2,3.3,3.3
101002,M'gladbach,Wolfsburg,3.5,3.4,2.05
101002,Nurnberg,Schalke 04,3,3.4,2.3
101002,Parma,Milan,3.8,3.3,2
101002,Birmingham,Everton,2.88,3.1,2.63
101002,Stoke,Blackburn,2.25,3.2,3.4
101002,Sunderland,Man United,5,3.5,1.75
101002,Tottenham,Aston Villa,1.91,3.5,4
101002,West Brom,Bolton,2.1,3.25,3.75
101002,West Ham,Fulham,2.25,3.25,3.3
101002,Wigan,Wolves,2.25,3.25,3.3
101002,Udinese,Cesena,1.75,3.5,4.75
101003,Liverpool,Blackpool,1.33,5,10
101003,Man City,Newcastle,1.44,4,8.5
101003,Almeria,Malaga,2.2,3.25,3.25
101003,Barcelona,Mallorca,1.17,7,15
101003,Getafe,Hercules,2.05,3.3,3.6
101003,Osasuna,Levante,1.73,3.5,5
101003,Real Madrid,La Coruna,1.17,7,15
101003,Sevilla,Ath Madrid,2.1,3.3,3.5
101003,Villarreal,Santander,1.73,3.5,5
101003,Chelsea,Arsenal,1.73,3.6,5
101003,Bologna,Sampdoria,2.6,3.1,2.8
101003,Chievo,Cagliari,2.25,3.1,3.4
101003,Genoa,Bari,1.91,3.25,4.33
101003,Dortmund,Bayern Munich,2.55,3.3,2.7
101003,Leverkusen,Werder Bremen,2.1,3.4,3.4
101003,Stuttgart,Ein Frankfurt,1.91,3.5,3.9
101003,Inter,Juventus,1.75,3.4,5
101003,Lazio,Brescia,1.67,3.5,5.5
101003,Lecce,Catania,2.38,3.1,3.1
101003,Napoli,Roma,2.4,3.1,3.1
101003,Fiorentina,Palermo,2,3.25,3.9
101015,FC Koln,Dortmund,4.33,3.6,1.8
101016,Malaga,Real Madrid,8,4.5,1.4
101016,Barcelona,Valencia,1.4,4.5,7.5
101016,Ath Madrid,Getafe,1.8,3.5,4.5
101016,Bayern Munich,Hannover,1.4,4.5,7.5
101016,Mainz,Hamburg,2.25,3.4,3.1
101016,Werder Bremen,Freiburg,1.53,4.33,5.5
101016,St Pauli,Nurnberg,2.25,3.2,3.4
101016,Wolfsburg,Leverkusen,2.3,3.4,3
101016,Bolton,Stoke,2.2,3.2,3.5
101016,Fulham,Tottenham,2.88,3.25,2.5
101016,Man United,West Brom,1.25,5.75,12
101016,Newcastle,Wigan,1.83,3.5,4.5
101016,Wolves,West Ham,2.25,3.2,3.4
101016,Schalke 04,Stuttgart,2,3.4,3.75
101016,Arsenal,Birmingham,1.29,5.5,11
101016,Aston Villa,Chelsea,5,3.6,1.73
101016,Milan,Chievo,1.44,4,8
101016,Roma,Genoa,1.91,3.25,4.33
101017,Juventus,Lecce,1.36,4.5,9
101017,Levante,Sociedad,2.4,3.2,3
101017,Mallorca,Espanol,1.91,3.4,4
101017,Sampdoria,Fiorentina,2.1,3.2,3.6
101017,Palermo,Bologna,1.62,3.6,6
101017,Santander,Almeria,2.1,3.3,3.5
101017,Cesena,Parma,2.5,3,3
101017,Catania,Napoli,2.88,3,2.63
101017,Cagliari,Inter,4,3.2,2
101017,Brescia,Udinese,2.7,3,2.8
101017,Hoffenheim,M'gladbach,1.65,3.75,5.25
101017,La Coruna,Osasuna,2.3,3.2,3.2
101017,Ath Bilbao,Zaragoza,1.8,3.5,4.5
101017,Sp Gijon,Sevilla,3.4,3.4,2.1
101017,Blackpool,Man City,5.5,4,1.62
101017,Everton,Liverpool,2.4,3.25,3
101017,Bari,Lazio,2.7,3,2.8
101017,Kaiserslautern,Ein Frankfurt,2.38,3.25,3
101018,Hercules,Villarreal,2.8,3.25,2.5
101018,Blackburn,Sunderland,2.1,3.3,3.6
101022,Hamburg,Bayern Munich,2.63,3.3,2.63
101023,Birmingham,Blackpool,1.83,3.6,4.33
101023,Chelsea,Wolves,1.13,8.5,19
101023,Zaragoza,Barcelona,11,5.75,1.25
101023,Valencia,Mallorca,1.57,3.75,6
101023,Fiorentina,Bari,1.75,3.4,5
101023,Sunderland,Aston Villa,2.4,3.25,3
101023,Ein Frankfurt,Schalke 04,2.8,3.25,2.5
101023,Freiburg,Kaiserslautern,2.25,3.25,3.2
101023,Hannover,FC Koln,2.1,3.25,3.5
101023,M'gladbach,Werder Bremen,3.3,3.5,2.1
101023,Nurnberg,Wolfsburg,2.9,3.3,2.38
101023,West Brom,Fulham,2.2,3.25,3.4
101023,West Ham,Newcastle,2.38,3.25,3.1
101023,Wigan,Bolton,2.38,3.25,3.1
101023,Tottenham,Everton,2.1,3.25,3.75
101023,Real Madrid,Santander,1.14,7,21
101024,Genoa,Catania,1.8,3.2,5
101024,Parma,Roma,3,3.2,2.38
101024,Lecce,Brescia,2.38,2.88,3.4
101024,Lazio,Cagliari,1.73,3.5,5
101024,Inter,Sampdoria,1.57,3.75,6
101024,Man City,Arsenal,2.5,3.2,2.9
101024,Chievo,Cesena,1.85,3.25,4.6
101024,Bologna,Juventus,4.2,3.5,1.85
101024,Dortmund,Hoffenheim,1.75,3.6,4.6
101024,Leverkusen,Mainz,1.8,3.75,4.2
101024,Stuttgart,St Pauli,1.67,3.75,5
101024,Udinese,Palermo,2.38,3,3.2
101024,Stoke,Man United,5.5,3.75,1.67
101024,Liverpool,Blackburn,1.67,3.6,5.5
101024,Osasuna,Malaga,2.1,3.25,3.5
101024,Getafe,Sp Gijon,1.73,3.5,5
101024,Sevilla,Ath Bilbao,1.7,3.6,5
101024,Espanol,Levante,1.75,3.4,5
101024,Villarreal,Ath Madrid,2.3,3.25,3.1
101024,Almeria,Hercules,2.2,3.25,3.25
101025,Sociedad,La Coruna,2.1,3.25,3.5
101025,Napoli,Milan,2.9,3.1,2.5
101029,Genoa,Inter,4,3.2,2
101029,Bayern Munich,Freiburg,1.29,5,11
101030,St Pauli,Ein Frankfurt,2.5,3.25,2.8
101030,Wolves,Man City,5.5,3.4,1.73
101030,Everton,Stoke,1.57,3.75,6.5
101030,Blackburn,Chelsea,7.5,4.33,1.44
101030,Arsenal,West Ham,1.17,7,17
101030,Schalke 04,Leverkusen,2.5,3.3,2.75
101030,Kaiserslautern,M'gladbach,2.1,3.4,3.4
101030,FC Koln,Hamburg,3.7,3.4,2
101030,Fulham,Wigan,1.91,3.4,4.2
101030,Man United,Tottenham,1.57,4,6
101030,Werder Bremen,Nurnberg,1.5,4.33,6
101030,Wolfsburg,Stuttgart,2.1,3.4,3.4
101030,Milan,Juventus,1.85,3.3,4.5
101030,Barcelona,Sevilla,1.29,5,11
101030,Hercules,Real Madrid,10,5,1.3
101030,Valencia,Zaragoza,1.4,4.33,7.5
101030,Roma,Lecce,1.36,4.6,8.5
101031,Sp Gijon,Villarreal,3.5,3.3,2.1
101031,Ath Bilbao,Getafe,2,3.5,3.6
101031,Cesena,Sampdoria,3.2,3,2.4
101031,Parma,Chievo,2.1,3.2,3.6
101031,Palermo,Lazio,2.2,3.2,3.4
101031,Ath Madrid,Almeria,1.5,4.33,6
101031,Catania,Fiorentina,2.63,3.1,2.75
101031,Cagliari,Bologna,1.85,3.4,4.33
101031,Malaga,Sociedad,2.1,3.25,3.6
101031,La Coruna,Espanol,2.63,3.3,2.63
101031,Santander,Osasuna,2.5,3.3,2.75
101031,Brescia,Napoli,3.2,3,2.4
101031,Bari,Udinese,2.55,3.1,2.88
101031,Mainz,Dortmund,2.75,3.3,2.5
101031,Newcastle,Sunderland,2.2,3.2,3.5
101031,Bolton,Liverpool,3.4,3.25,2.2
101031,Aston Villa,Birmingham,1.8,3.6,4.5
101031,Hoffenheim,Hannover,1.62,3.7,5.5
101101,Mallorca,Levante,1.62,3.8,5.5
101101,Blackpool,West Brom,2.9,3.25,2.5
101105,Schalke 04,St Pauli,1.7,3.6,5
101106,Bolton,Tottenham,3,3.3,2.4
101106,Fulham,Aston Villa,2.2,3.25,3.4
101106,Freiburg,Mainz,2.9,3.3,2.4
101106,Hamburg,Hoffenheim,2.25,3.25,3.2
101106,M'gladbach,Bayern Munich,5.5,4,1.57
101106,Nurnberg,FC Koln,2,3.4,3.75
101106,Espanol,Malaga,1.91,3.4,4
101106,Sociedad,Santander,2.1,3.25,3.6
101106,Ein Frankfurt,Wolfsburg,2.38,3.4,2.88
101106,Blackpool,Everton,4.5,3.6,1.8
101106,Man United,Wolves,1.22,6,15
101106,Birmingham,West Ham,1.91,3.4,4.2
101106,Bologna,Lecce,1.91,3.25,4.33
101106,Inter,Brescia,1.25,5,15
101106,Sunderland,Stoke,2.1,3.2,3.75
101106,Blackburn,Wigan,1.8,3.6,4.5
101107,Villarreal,Ath Bilbao,1.8,3.6,4.33
101107,Real Madrid,Ath Madrid,1.29,5.5,9.5
101107,Osasuna,Hercules,2,3.3,3.8
101107,Levante,La Coruna,2.3,3.2,3.2
101107,Getafe,Barcelona,8.5,5,1.33
101107,Almeria,Sp Gijon,2.1,3.3,3.5
101107,Arsenal,Newcastle,1.29,5.5,11
101107,Zaragoza,Mallorca,2.4,3.2,3
101107,Stuttgart,Werder Bremen,2.5,3.3,2.75
101107,Leverkusen,Kaiserslautern,1.44,4.5,6.5
101107,Sampdoria,Catania,1.83,3.4,4.5
101107,West Brom,Man City,3.6,3.3,2.1
101107,Liverpool,Chelsea,3.8,3.4,2
101107,Palermo,Genoa,2,3.2,4
101107,Napoli,Parma,1.62,3.75,5.5
101107,Lazio,Roma,2.5,3.1,2.9
101107,Juventus,Cesena,1.36,4.5,9
101107,Fiorentina,Chievo,1.73,3.5,5
101107,Bari,Milan,4.33,3.25,1.91
101107,Udinese,Cagliari,1.85,3.3,4.5
101107,Hannover,Dortmund,4.33,3.6,1.8
101108,Sevilla,Valencia,2.2,3.4,3.2
101109,Stoke,Birmingham,2.1,3.2,3.75
101109,Tottenham,Sunderland,1.53,4,6.5
101110,Chelsea,Fulham,1.2,6.5,15
101110,Milan,Palermo,1.57,3.6,6.5
101110,Lecce,Inter,5.5,3.3,1.73
101110,Genoa,Bologna,1.73,3.5,5
101110,Chievo,Bari,2.05,3.2,3.75
101110,Cesena,Lazio,3.5,3.1,2.2
101110,Catania,Udinese,2.6,3.1,2.8
101110,Cagliari,Napoli,2.5,3.1,2.9
101110,Roma,Fiorentina,1.83,3.4,4.5
101110,Wolves,Arsenal,5.5,3.6,1.67
101110,Wigan,Liverpool,4.75,3.6,1.75
101110,Aston Villa,Blackpool,1.62,3.75,6
101110,West Ham,West Brom,2.3,3.25,3.2
101110,Newcastle,Blackburn,1.91,3.4,4.2
101110,Man City,Man United,2.63,3.25,2.75
101110,Everton,Bolton,1.62,3.75,6
101110,Brescia,Juventus,4.75,3.3,1.8
101111,Parma,Sampdoria,2.38,3.1,3.1
101112,Dortmund,Hamburg,1.73,3.75,4.5
101113,Wolfsburg,Schalke 04,2.25,3.5,3
101113,Werder Bremen,Ein Frankfurt,1.91,3.6,3.75
101113,St Pauli,Leverkusen,3.4,3.4,2.1
101113,Mainz,Hannover,1.73,3.5,5
101113,Kaiserslautern,Stuttgart,3,3.4,2.3
101113,FC Koln,M'gladbach,2.1,3.5,3.3
101113,West Ham,Blackpool,1.91,3.6,4
101113,Stoke,Liverpool,3.75,3.25,2.1
101113,Tottenham,Blackburn,1.57,3.8,6.5
101113,Wigan,West Brom,2.5,3.25,2.88
101113,Juventus,Roma,2.2,3.2,3.4
101113,Fiorentina,Cesena,1.44,4,8
101113,Aston Villa,Man United,4.5,3.6,1.8
101113,Newcastle,Fulham,1.91,3.4,4.2
101113,Man City,Birmingham,1.4,4.5,8.5
101113,Wolves,Bolton,2.4,3.1,3.2
101113,Ath Madrid,Osasuna,1.62,3.75,5.5
101113,Barcelona,Villarreal,1.2,6.25,13
101113,Ath Bilbao,Almeria,1.67,3.75,5
101114,Hercules,Sociedad,2.1,3.3,3.5
101114,Malaga,Levante,1.95,3.5,3.8
101114,Mallorca,La Coruna,1.8,3.5,4.5
101114,Everton,Arsenal,3.4,3.3,2.2
101114,Santander,Espanol,2.38,3,3.2
101114,Sp Gijon,Real Madrid,12,5.5,1.25
101114,Valencia,Getafe,1.62,3.75,5.5
101114,Zaragoza,Sevilla,3,3.25,2.38
101114,Hoffenheim,Freiburg,1.62,3.75,5.5
101114,Bayern Munich,Nurnberg,1.33,5,8.5
101114,Bologna,Brescia,2.05,3.25,3.75
101114,Chelsea,Sunderland,1.22,5.75,15
101114,Inter,Milan,2.6,3.2,2.75
101114,Cagliari,Genoa,2.2,3.2,3.3
101114,Udinese,Lecce,1.6,3.6,6
101114,Sampdoria,Chievo,1.91,3.3,4.2
101114,Bari,Parma,2.3,3.2,3.1
101114,Palermo,Catania,1.8,3.3,5
101114,Lazio,Napoli,2.1,3.25,3.5
101120,Almeria,Barcelona,12,5.5,1.25
101120,Villarreal,Valencia,2,3.5,3.6
101120,Man United,Wigan,1.22,6,15
101120,Liverpool,West Ham,1.57,3.8,6.5
101120,Bolton,Newcastle,2.1,3.3,3.6
101120,Blackpool,Wolves,2.5,3.3,2.88
101120,Birmingham,Chelsea,5,3.6,1.73
101120,Arsenal,Tottenham,1.62,4,5.5
101120,Real Madrid,Ath Bilbao,1.17,7,15
101120,West Brom,Stoke,2.2,3.2,3.5
101120,Roma,Udinese,1.8,3.25,5
101120,Ein Frankfurt,Hoffenheim,2.25,3.4,3.1
101120,Schalke 04,Werder Bremen,2.2,3.4,3.2
101120,Nurnberg,Kaiserslautern,1.95,3.5,3.75
101120,M'gladbach,Mainz,2.4,3.4,2.8
101120,Leverkusen,Bayern Munich,3,3.4,2.3
101120,Hannover,Hamburg,2.88,3.4,2.38
101120,Freiburg,Dortmund,5.5,3.75,1.62
101120,Milan,Fiorentina,1.57,3.75,6
101121,Parma,Lazio,2.63,3,2.88
101121,Genoa,Juventus,2.8,3,2.7
101121,Chievo,Inter,4.2,3.2,1.95
101121,Cesena,Palermo,3.5,3.1,2.2
101121,Fulham,Man City,3.2,3.1,2.4
101121,Brescia,Cagliari,2.2,3.1,3.5
101121,Blackburn,Aston Villa,2.3,3.25,3.25
101121,Stuttgart,FC Koln,1.53,4,6
101121,Napoli,Bologna,1.5,3.75,7.5
101121,Catania,Bari,1.57,3.6,6.5
101121,St Pauli,Wolfsburg,3.2,3.4,2.2
101121,Lecce,Sampdoria,3,3,2.5
101121,Levante,Santander,2.38,3.25,3
101121,Sociedad,Ath Madrid,2.75,3.3,2.5
101121,Sevilla,Mallorca,1.67,3.75,5
101121,Osasuna,Sp Gijon,1.83,3.4,4.5
101121,La Coruna,Malaga,2.25,3.25,3.2
101121,Espanol,Hercules,1.91,3.3,4.2
101122,Sunderland,Everton,2.6,3.2,2.8
101122,Getafe,Zaragoza,1.8,3.5,4.5
101126,Mainz,Nurnberg,1.85,3.4,4.33
101127,West Ham,Wigan,2,3.5,3.75
101127,Wolves,Sunderland,2.6,3.2,2.8
101127,Man United,Blackburn,1.25,5.5,13
101127,Stoke,Man City,3.4,3.25,2.2
101127,Juventus,Fiorentina,1.67,3.6,5.5
101127,Sampdoria,Milan,3.6,3.1,2.15
101127,Zaragoza,Villarreal,3.25,3.25,2.2
101127,Hannover,Freiburg,2.25,3.2,3.25
101127,Aston Villa,Arsenal,3.4,3.3,2.2
101127,Everton,West Brom,1.57,3.8,6.5
101127,Bolton,Blackpool,1.57,4.2,5.5
101127,Kaiserslautern,Schalke 04,3.25,3.3,2.2
101127,Hamburg,Stuttgart,2.1,3.3,3.5
101127,Dortmund,M'gladbach,1.29,5.5,9.5
101127,Ath Madrid,Espanol,1.62,3.6,6
101127,Sevilla,Getafe,1.67,3.75,5
101127,Bayern Munich,Ein Frankfurt,1.36,4.75,8
101127,Fulham,Birmingham,2,3.3,4
101127,Hoffenheim,Leverkusen,2.55,3.3,2.7
101128,Bari,Cesena,1.91,3.3,4.2
101128,Ath Bilbao,Osasuna,1.73,3.6,4.75
101128,Werder Bremen,St Pauli,1.75,3.75,4.5
101128,Lazio,Catania,1.67,3.5,5.5
101128,Inter,Parma,1.67,3.5,5.5
101128,Cagliari,Lecce,1.62,3.6,6
101128,Palermo,Roma,2.6,3,2.9
101128,FC Koln,Wolfsburg,2.8,3.3,2.45
101128,Udinese,Napoli,2.5,3,3
101128,Santander,La Coruna,2.2,3.2,3.4
101128,Valencia,Almeria,1.33,5,9
101128,Sp Gijon,Sociedad,2.1,3.25,3.6
101128,Brescia,Genoa,3,3,2.5
101128,Mallorca,Malaga,1.73,3.75,4.5
101128,Hercules,Levante,1.83,3.5,4.33
101128,Tottenham,Liverpool,2,3.4,3.8
101128,Newcastle,Chelsea,5,3.6,1.73
101129,Barcelona,Real Madrid,2.1,3.3,3.5
